G1,G2,studytime,failures,absences,schoolsup,famsup,paid,internet,higher,health,goout,G3,Risk
14,12,2,1,2,1,1,0,1,1,4,4,13,0
13,15,3,0,8,0,1,0,1,1,1,3,15,0
9,8,2,1,0,1,1,0,1,0,3,3,10,0
10,10,1,0,0,0,0,0,1,1,1,3,10,0
10,10,1,0,10,0,0,0,1,0,4,4,11,0
11,11,1,0,22,0,0,0,1,1,5,4,10,0
13,13,1,0,18,0,0,0,1,1,3,4,13,0
17,17,4,0,2,0,1,0,0,1,3,2,18,0
12,13,2,0,0,1,0,0,1,1,4,4,13,0
12,12,2,0,12,0,1,0,1,1,5,5,14,0
12,13,2,0,10,0,0,0,1,1,5,1,14,0
12,12,2,0,0,0,0,0,1,1,4,3,12,0
18,18,3,0,0,0,1,0,1,1,2,3,18,0
13,13,3,0,0,0,1,0,1,1,3,3,14,0
14,15,3,0,0,0,0,0,1,1,2,4,15,0
17,17,2,0,0,0,1,0,1,1,2,3,17,0
15,16,2,0,2,0,1,0,1,1,5,2,16,0
17,18,3,0,0,0,1,0,1,1,3,2,18,0
18,19,4,0,0,0,1,0,0,1,3,2,19,0
14,15,3,0,0,0,1,0,1,1,4,2,15,0
14,15,1,0,0,0,1,0,1,1,5,3,15,0
14,13,2,0,2,0,1,0,1,1,2,4,13,0
13,14,2,0,0,0,1,0,1,1,2,5,14,0
16,17,4,0,0,0,1,0,1,1,3,3,17,0
18,18,1,0,0,0,1,0,1,1,1,2,17,0
14,15,2,0,0,0,1,1,1,1,4,4,15,0
12,13,1,0,0,0,0,0,1,1,5,1,13,0
7,7,3,0,0,0,1,0,1,1,5,4,8,1
16,16,3,0,0,0,1,0,1,1,3,3,16,0
18,18,4,0,0,0,1,0,1,1,5,2,18,0
9,10,3,1,0,0,0,0,1,1,5,1,11,0
14,15,1,2,0,0,0,0,0,1,5,3,15,0
10,10,2,0,0,0,0,0,0,1,5,3,11,0
10,10,2,0,2,1,1,0,0,1,5,4,11,0
12,12,2,0,2,0,1,0,1,1,1,3,15,0
11,12,2,0,2,0,0,0,1,1,3,1,14,0
15,16,1,0,2,0,0,0,1,1,5,4,17,0
14,15,3,0,2,0,1,0,1,1,5,4,17,0
12,12,1,0,8,0,1,0,1,1,1,4,15,0
15,15,3,0,2,0,1,0,1,1,5,4,17,0
11,12,2,0,8,0,1,0,1,1,3,4,14,0
11,10,2,0,9,0,1,0,1,1,1,4,10,0
12,11,2,0,0,0,1,0,1,1,5,4,13,0
11,12,1,0,4,0,1,0,1,1,1,4,14,0
14,15,1,0,2,0,0,0,1,1,5,4,17,0
15,14,2,0,14,0,1,0,1,1,5,2,17,0
12,12,2,0,0,1,1,0,1,1,5,3,13,0
11,12,2,0,2,0,0,0,1,1,2,3,14,0
8,9,1,0,2,0,1,0,1,1,5,5,11,0
10,10,3,0,12,0,0,0,0,0,5,5,11,0
8,8,2,2,2,0,1,0,1,1,4,4,9,1
10,10,1,0,2,0,1,0,1,1,5,5,10,0
14,13,2,0,4,0,1,0,0,1,3,2,13,0
11,11,3,0,0,0,1,0,1,1,3,2,10,0
17,18,3,0,0,0,1,0,1,1,5,3,17,0
14,14,3,0,0,0,0,0,1,1,2,3,15,0
14,14,3,0,0,0,0,0,1,1,2,5,14,0
13,14,3,0,0,0,0,0,1,1,3,3,13,0
17,18,1,0,0,0,0,0,1,1,5,5,17,0
11,10,1,0,2,0,1,0,1,1,4,5,10,0
13,12,3,0,0,0,1,0,1,1,4,4,13,0
15,14,3,0,4,0,1,0,1,1,4,3,15,0
11,12,1,0,2,0,1,1,1,1,5,5,11,0
11,11,4,0,0,0,1,1,1,1,5,5,12,0
11,10,1,0,0,0,1,0,0,1,5,4,10,0
10,9,2,0,2,0,0,0,0,1,2,5,10,0
15,15,3,0,0,0,1,0,1,1,5,3,15,0
15,14,1,0,6,0,0,0,1,1,5,2,15,0
10,11,2,0,8,0,0,0,1,1,4,4,12,0
10,9,2,0,0,0,0,0,1,1,2,3,12,0
14,13,4,0,6,0,0,0,0,1,4,4,14,0
11,13,3,0,8,0,0,0,1,1,5,5,14,0
12,13,2,0,0,0,1,0,1,1,2,2,15,0
14,14,4,0,4,0,1,0,1,1,1,3,15,0
14,14,2,0,0,0,1,0,1,1,2,3,16,0
12,12,2,0,0,0,1,0,1,1,2,3,13,0
16,16,2,0,6,0,0,0,1,1,5,3,17,0
10,12,2,0,18,0,1,0,1,1,4,1,14,0
11,12,3,0,0,0,1,0,1,1,3,3,14,0
14,16,3,0,4,0,0,0,1,1,1,3,17,0
15,14,3,0,4,0,0,0,1,1,4,2,17,0
14,13,3,0,0,0,1,0,1,1,5,5,14,0
11,12,3,0,0,0,1,0,1,1,4,3,13,0
12,15,2,0,10,0,1,0,1,1,1,4,15,0
12,16,2,0,4,0,1,0,1,1,4,5,16,0
10,11,1,1,16,0,0,0,1,0,5,3,11,0
10,13,1,1,6,0,1,1,1,1,3,2,13,0
9,12,3,2,0,0,0,1,1,1,5,2,12,0
9,11,2,0,11,0,1,0,1,0,3,4,12,0
13,14,2,0,9,0,0,0,1,1,2,5,15,0
13,17,2,0,0,0,1,0,1,1,4,4,17,0
12,15,3,0,2,0,1,0,1,1,4,2,15,0
14,17,2,0,0,0,1,0,1,1,3,2,17,0
9,10,2,2,21,0,1,0,1,0,4,3,10,0
11,15,3,0,8,0,0,0,1,1,3,2,15,0
9,10,1,1,5,0,1,0,1,1,5,5,11,0
16,18,2,0,10,0,1,0,1,1,5,4,18,0
14,17,3,0,5,0,1,0,1,1,2,4,17,0
13,14,1,0,13,0,0,0,1,1,4,3,14,0
7,11,1,0,10,0,0,0,1,1,4,4,11,0
14,17,2,0,10,0,1,0,1,1,4,4,17,0
8,10,1,1,5,1,0,0,1,1,5,1,10,0
10,13,2,0,4,0,1,0,1,1,1,2,13,0
10,11,1,0,11,0,1,0,1,0,5,3,11,0
12,12,2,0,0,0,1,0,1,1,5,4,12,0
10,10,1,1,6,0,1,0,0,1,2,3,10,0
10,10,1,0,4,0,1,0,1,1,5,4,11,0
16,17,2,0,0,0,0,0,0,1,5,2,17,0
6,8,1,0,0,0,0,0,0,0,1,4,9,1
10,11,2,0,5,0,1,0,0,1,2,2,11,0
10,11,3,0,0,1,0,0,1,1,5,3,11,0
10,10,2,1,0,0,0,0,0,1,5,4,10,0
6,6,1,1,0,0,1,0,1,0,5,4,7,1
13,14,1,0,0,0,0,0,1,1,5,1,14,0
10,9,4,0,4,0,0,0,0,0,1,1,11,0
10,10,2,0,0,0,1,0,1,1,4,3,10,0
6,7,1,1,4,0,1,0,1,1,2,3,8,1
12,11,1,0,0,0,1,0,0,1,2,3,12,0
10,11,1,0,2,0,1,0,1,1,3,5,12,0
14,16,1,0,0,0,0,0,1,1,4,3,16,0
7,0,2,0,0,0,1,0,0,1,3,5,0,1
8,9,2,0,4,0,0,1,1,1,5,3,9,1
12,13,2,0,0,0,1,0,1,1,2,4,14,0
7,9,2,0,7,0,1,0,1,1,2,4,8,1
9,10,2,0,4,0,0,0,0,1,5,5,11,0
7,9,2,0,8,0,1,0,0,1,4,5,9,1
11,11,2,0,0,0,1,0,1,1,5,3,11,0
8,10,1,0,8,0,0,0,0,0,3,5,9,1
16,16,3,0,6,0,0,0,1,1,4,2,17,0
11,13,1,0,3,0,0,0,0,1,1,2,13,0
15,15,2,0,2,0,1,0,1,1,1,4,15,0
10,11,2,0,0,0,0,0,0,1,5,3,11,0
9,10,2,0,4,0,1,0,1,1,4,5,11,0
10,8,3,1,0,0,1,0,0,1,4,2,8,1
9,8,3,1,3,0,1,0,0,1,4,2,8,1
9,10,2,0,0,1,1,0,1,1,2,2,9,1
13,14,2,0,0,0,1,0,0,1,2,3,15,0
10,11,1,0,4,0,1,0,1,1,3,5,11,0
13,10,4,0,0,0,1,0,1,1,1,2,13,0
10,9,3,0,2,1,1,0,0,1,5,3,10,0
11,10,2,0,1,0,1,0,1,1,2,3,11,0
13,12,1,0,0,0,0,0,1,1,2,2,14,0
13,14,2,0,0,0,1,0,0,1,2,1,14,0
14,11,3,0,2,1,1,0,0,1,5,3,12,0
11,11,1,0,6,0,0,0,0,1,5,4,11,0
9,8,2,1,9,0,1,0,1,1,5,4,8,1
10,9,1,0,0,0,1,0,0,1,4,3,11,0
14,13,2,0,1,0,1,0,1,1,2,4,14,0
13,12,1,0,1,0,0,0,0,1,4,3,13,0
13,12,2,0,0,0,1,0,0,1,3,1,13,0
13,12,2,0,4,0,1,0,1,1,1,4,12,0
12,11,2,1,2,0,1,0,0,1,5,4,12,0
14,14,1,0,0,0,1,0,0,1,4,2,16,0
10,8,1,0,4,0,1,0,1,1,4,3,10,0
10,11,1,0,2,0,1,0,1,1,3,4,11,0
12,13,3,0,0,0,1,0,0,1,4,2,14,0
10,8,1,0,2,0,1,0,1,1,5,3,8,1
12,10,1,0,11,0,1,0,1,1,3,3,11,0
7,7,2,3,0,1,1,0,0,1,1,3,8,1
9,9,1,0,4,0,1,0,0,0,5,3,10,0
9,9,1,1,0,0,0,0,1,0,2,4,10,0
9,10,1,0,2,0,1,0,0,0,3,3,11,0
9,10,1,0,0,0,1,0,0,0,4,1,9,1
9,10,2,0,1,0,1,0,1,0,1,5,11,0
7,7,1,0,6,0,1,0,0,0,1,4,8,1
11,10,2,0,0,0,1,0,1,1,4,5,11,0
9,10,1,1,1,0,1,1,1,1,3,3,10,0
7,9,3,2,6,0,1,0,0,0,2,2,10,0
7,9,3,1,6,0,0,0,0,0,3,1,9,1
8,9,1,1,0,0,0,0,1,0,4,3,10,0
9,11,1,1,4,0,0,0,1,0,2,3,10,0
7,8,2,1,12,0,1,0,1,1,1,4,9,1
8,10,2,0,2,0,0,0,0,1,3,2,10,0
9,9,1,0,5,0,0,0,0,1,5,4,10,0
8,9,2,0,0,0,0,0,1,0,3,5,9,1
14,13,1,0,0,0,0,0,1,0,4,4,13,0
14,14,1,0,2,0,1,0,1,1,4,4,14,0
10,11,4,1,0,0,1,1,0,1,5,5,10,0
14,13,2,0,0,0,1,0,1,1,1,3,14,0
17,16,1,0,0,0,1,1,0,1,5,5,16,0
6,7,1,1,12,0,1,0,1,0,1,5,7,1
14,12,1,0,8,0,0,0,1,1,5,5,13,0
10,8,4,1,2,0,1,0,0,1,3,5,9,1
14,14,4,0,0,1,1,0,1,1,5,1,14,0
12,13,3,0,0,0,0,0,1,1,1,5,13,0
11,11,1,0,0,0,1,0,1,1,5,5,11,0
11,9,2,1,8,0,0,0,1,1,3,4,10,0
11,11,3,0,0,0,1,0,0,1,3,3,10,0
10,9,1,1,0,0,1,0,1,1,5,5,9,1
16,17,2,0,0,0,1,0,0,1,1,2,18,0
15,17,2,0,0,0,1,0,0,1,1,2,17,0
11,9,2,0,1,0,0,0,1,1,4,5,10,0
7,7,2,1,9,0,1,0,1,1,5,2,7,1
8,6,1,0,0,0,0,0,1,1,1,3,8,1
7,6,1,0,2,0,0,0,1,1,3,3,7,1
9,8,2,0,8,1,0,0,0,1,3,5,10,0
14,16,2,0,0,0,0,0,1,1,2,3,16,0
14,14,1,0,0,0,0,0,1,1,2,5,15,0
8,5,2,1,8,0,1,0,1,1,1,2,8,1
8,7,2,0,0,0,0,0,1,1,2,1,0,1
6,8,2,0,6,0,1,0,1,1,5,2,8,1
8,10,2,0,0,0,1,0,1,1,2,3,10,0
8,8,2,0,4,0,1,0,1,1,3,4,8,1
5,6,4,0,2,0,1,0,1,0,5,5,6,1
7,9,2,0,2,0,1,0,0,1,2,1,8,1
15,14,3,0,0,0,1,0,1,1,5,3,16,0
13,14,1,0,1,0,0,0,1,1,5,3,14,0
10,9,3,0,0,0,0,0,0,1,3,3,10,0
9,9,1,0,5,0,1,1,1,1,5,3,9,1
11,11,1,0,1,0,1,0,0,1,5,3,11,0
7,10,1,0,8,0,1,0,1,1,3,4,9,1
10,10,2,0,0,0,0,0,1,1,1,3,10,0
9,7,2,0,2,0,0,0,1,1,5,2,8,1
14,15,2,0,0,0,0,0,1,1,3,2,16,0
11,12,1,0,0,0,1,0,1,1,5,2,12,0
9,11,2,0,11,0,1,0,0,1,5,5,10,0
13,14,4,0,8,0,1,0,0,1,5,5,14,0
12,13,1,0,11,0,0,0,1,1,5,3,12,0
11,11,3,0,2,0,1,0,0,1,5,3,11,0
9,10,2,0,8,0,1,0,1,1,1,4,10,0
9,11,1,0,5,0,0,0,0,1,1,3,11,0
11,9,2,0,0,1,0,1,0,1,5,3,11,0
10,11,3,0,1,0,1,0,1,1,5,5,12,0
9,9,1,3,2,0,0,0,1,1,5,3,8,1
12,11,1,0,2,0,0,0,0,1,5,2,12,0
8,9,2,1,8,0,1,0,1,1,5,4,8,1
13,15,2,0,0,0,1,0,1,1,5,5,16,0
10,11,1,0,0,0,0,0,1,1,2,2,11,0
11,10,2,0,2,0,0,0,1,1,3,5,11,0
17,18,2,0,0,1,1,0,1,1,5,3,18,0
12,13,2,0,0,0,1,0,1,1,5,2,13,0
13,14,2,0,0,0,1,1,1,1,1,2,13,0
9,9,2,2,2,0,1,0,1,0,4,3,10,0
11,11,1,0,4,0,0,0,0,1,5,2,12,0
10,11,1,0,3,0,1,0,1,0,4,5,10,0
13,14,3,0,5,1,1,0,1,1,3,4,13,0
9,10,1,0,4,0,0,0,0,1,5,4,11,0
7,9,2,3,2,0,1,0,1,1,5,4,10,0
8,13,1,0,0,0,0,0,0,0,5,5,10,0
12,12,1,1,0,1,1,0,0,1,4,2,13,0
10,9,1,0,0,0,1,0,1,1,2,5,10,0
10,9,2,0,6,0,1,0,0,1,5,3,10,0
11,13,2,0,0,0,0,0,0,1,1,3,12,0
7,0,1,1,0,0,0,0,0,1,5,1,0,1
11,9,1,0,2,0,0,0,1,1,5,5,10,0
10,10,1,0,0,0,0,0,1,1,5,5,9,1
9,7,1,1,2,0,1,0,1,0,5,3,9,1
4,0,1,1,0,0,0,0,1,0,5,1,0,1
6,11,1,3,4,0,0,0,0,1,3,1,9,1
4,8,2,2,9,0,1,0,1,0,3,5,8,1
7,8,1,0,6,0,1,0,1,1,4,3,8,1
8,9,1,3,4,0,0,0,1,0,5,3,9,1
5,5,2,2,8,0,1,0,0,1,1,5,7,1
7,9,1,0,9,0,1,0,0,1,5,2,10,0
8,11,1,1,12,0,1,0,1,0,4,3,10,0
10,11,1,0,8,0,1,0,1,1,2,4,10,0
9,10,1,0,8,0,1,0,1,1,5,5,11,0
10,9,2,1,8,0,0,0,1,1,2,4,11,0
8,9,2,1,4,0,1,0,1,1,3,4,10,0
9,10,1,0,0,0,0,0,1,0,3,3,9,1
8,9,1,1,4,0,1,0,1,1,5,4,10,0
6,8,2,2,2,0,1,0,0,1,5,3,8,1
6,8,1,0,0,0,1,0,0,0,5,4,7,1
8,6,1,1,0,0,0,0,1,0,3,5,0,1
10,11,1,0,0,0,1,0,1,1,5,3,11,0
8,7,3,0,5,0,1,1,0,0,3,3,8,1
8,8,2,0,0,1,1,0,1,1,5,5,0,1
7,6,2,1,3,0,1,0,1,1,4,3,8,1
8,10,1,0,0,0,1,0,0,1,5,2,9,1
7,10,1,0,0,0,0,0,1,1,3,1,10,0
7,8,2,2,3,0,0,0,0,1,5,4,7,1
12,13,2,0,2,0,0,0,1,1,1,5,14,0
11,12,1,0,0,0,1,0,1,1,4,3,13,0
12,13,2,0,0,0,0,0,1,1,4,3,14,0
18,18,2,0,0,0,0,0,1,1,1,5,18,0
17,17,1,0,3,0,1,0,1,1,5,5,17,0
17,18,2,0,0,0,1,0,1,1,4,3,18,0
9,0,2,1,0,0,0,0,0,1,4,3,0,1
10,11,1,0,8,0,1,0,0,1,1,4,11,0
12,13,1,0,5,0,1,1,1,1,1,5,14,0
12,13,1,0,4,0,0,0,0,0,4,3,14,0
8,8,2,0,4,0,1,0,1,1,2,1,10,0
11,12,3,0,0,0,0,0,1,1,3,5,13,0
5,0,2,0,0,0,0,0,1,1,5,1,0,1
9,10,2,1,2,0,0,0,0,0,2,2,10,0
5,0,1,1,0,0,0,0,0,0,2,5,0,1
18,18,4,0,0,0,0,0,1,1,5,3,18,0
11,11,2,0,5,0,0,0,1,1,2,3,12,0
8,10,2,0,2,0,0,0,0,1,3,3,11,0
11,11,2,0,0,0,1,0,0,0,4,1,12,0
8,0,2,3,0,0,1,0,0,0,1,4,0,1
14,14,3,0,5,0,0,0,1,1,4,1,15,0
10,11,2,1,4,0,1,1,1,1,2,5,11,0
10,10,2,0,0,0,1,0,0,1,5,4,10,0
12,12,2,0,2,0,1,1,1,1,5,3,12,0
15,14,2,0,0,0,0,0,0,1,5,3,15,0
14,13,1,0,2,0,0,0,1,1,3,2,14,0
19,17,3,0,0,0,0,0,1,1,4,2,18,0
16,15,2,0,0,0,0,0,0,1,5,4,15,0
13,12,2,0,6,0,1,0,1,1,3,2,13,0
15,14,2,0,4,0,1,0,1,1,1,4,15,0
13,13,2,0,0,0,0,0,0,1,3,2,13,0
8,10,2,0,0,0,1,1,0,1,3,4,9,1
15,16,3,0,0,0,0,0,1,1,5,2,16,0
8,8,1,1,0,0,1,0,1,1,1,1,9,1
10,10,1,0,0,0,1,0,1,1,4,3,10,0
7,5,2,0,0,0,1,0,1,1,5,2,0,1
9,10,1,0,3,0,1,0,1,0,3,3,10,0
10,11,3,0,8,0,0,0,0,1,3,3,12,0
7,8,1,0,4,0,0,0,1,1,1,5,9,1
15,17,3,0,0,0,0,0,1,1,1,4,17,0
10,11,3,0,4,0,0,0,1,1,4,2,12,0
7,8,2,1,4,0,1,0,1,1,3,3,9,1
13,14,2,0,1,0,0,0,1,1,2,3,14,0
16,16,2,0,1,0,0,0,1,1,1,3,16,0
8,9,2,0,10,0,1,0,1,1,1,4,9,1
17,18,2,0,4,0,0,0,1,1,2,4,19,0
7,7,1,0,0,0,0,0,1,1,5,3,0,1
14,15,2,0,4,0,0,0,1,1,3,3,16,0
5,8,1,1,0,0,0,0,0,1,5,2,0,1
7,7,1,1,0,0,0,1,0,1,3,3,0,1
14,17,3,0,0,0,0,0,0,1,4,3,15,0
6,9,2,0,0,0,0,0,1,1,1,4,11,0
7,9,1,0,4,0,1,0,1,1,5,3,10,0
10,11,3,1,4,0,0,0,1,1,5,2,10,0
15,15,2,0,4,0,1,0,1,1,1,4,16,0
11,12,2,0,6,0,0,0,0,1,5,1,9,1
10,10,1,0,6,0,0,0,1,1,2,5,10,0
10,11,1,0,4,0,0,0,1,1,5,1,11,0
